City_ID,City,Lat,Lan,Temp_max,Hum,Cloudness,WindSpeed,Country,Date
2,port hawkesbury,45.6169,-61.3485,44.6,93,90,3.44,CA,1617249425
3,atuona,-9.8,-139.0333,80.92,78,69,13.33,PF,1617249425
4,luderitz,-26.6481,15.1594,66.6,59,0,11.95,NA,1617249426
5,kilindoni,-7.9139,39.6668,80.15,80,100,16.93,TZ,1617249426
6,new norfolk,-42.7826,147.0587,80.01,30,99,7.0,AU,1617249426
7,hermanus,-34.4187,19.2345,59.0,94,97,4.36,ZA,1617249426
9,lompoc,34.6391,-120.4579,60.01,62,0,3.44,US,1617249426
10,antalaha,-14.9003,50.2788,75.49,90,41,6.2,MG,1617249427
11,bredasdorp,-34.5322,20.0403,59.0,88,100,3.44,ZA,1617249427
12,hofn,64.2539,-15.2082,42.04,64,3,11.77,IS,1617249427
13,mataura,-46.1927,168.8643,57.99,77,100,8.99,NZ,1617249427
14,ushuaia,-54.8,-68.3,42.8,70,0,4.61,AR,1617249427
15,visnes,59.3556,5.2242,41.0,81,75,14.97,NO,1617249427
16,padang,-0.9492,100.3543,84.2,61,75,2.3,ID,1617249427
17,georgetown,5.4112,100.3354,89.6,70,20,6.91,MY,1617249260
18,busselton,-33.65,115.3333,77.88,54,100,4.59,AU,1617249428
19,coihaique,-45.5752,-72.0662,51.8,66,90,8.05,CL,1617249428
20,rikitea,-23.1203,-134.9692,78.28,75,100,15.66,PF,1617249428
21,souillac,-20.5167,57.5167,75.2,94,75,7.81,MU,1617249428
22,iracoubo,5.4802,-53.2011,76.17,86,97,10.94,GF,1617249428
23,saint-augustin,51.226,-58.6502,28.99,93,100,6.15,CA,1617249429
24,honningsvag,70.9821,25.9704,33.75,98,100,9.42,NO,1617249429
25,clyde river,70.4692,-68.5914,-11.2,70,40,12.66,CA,1617249429
26,egvekinot,66.3167,-179.1667,1.99,88,100,3.49,RU,1617249429
27,port elizabeth,-33.918,25.5701,64.4,77,0,9.22,ZA,1617249429
28,butaritari,3.0707,172.7902,82.53,78,20,16.06,KI,1617249429
29,upernavik,72.7868,-56.1549,7.14,70,100,4.59,GL,1617249429
30,cruzeiro do sul,-29.5128,-51.9853,60.01,97,20,1.28,BR,1617249430
31,kapaa,22.0752,-159.319,78.8,69,40,17.27,US,1617249430
32,nikolskoye,59.7035,30.7861,34.0,93,40,8.95,RU,1617249430
33,edosaki,35.95,140.3167,68.0,55,40,8.05,JP,1617249211
34,kaitangata,-46.2817,169.8464,60.01,70,75,8.01,NZ,1617249430
35,yellowknife,62.456,-114.3525,19.4,63,75,10.36,CA,1617249430
36,ciudad valles,21.9833,-99.0167,74.68,87,93,5.12,MX,1617249431
37,berdigestyakh,62.0989,126.6992,27.01,70,100,6.13,RU,1617249431
38,avarua,-21.2078,-159.775,82.4,69,40,8.05,CK,1617249431
39,thompson,55.7435,-97.8558,23.0,58,75,8.05,CA,1617249431
40,matay,28.419,30.7792,56.35,50,68,3.8,EG,1617249431
