City_ID,City,Lat,Lan,Temp_max,Hum,Cloudness,WindSpeed,Country,Date
2,krasnoborsk,61.5598,45.934,37.09,84,94,8.61,RU,1617284108
3,yingkou,40.6648,122.2283,53.24,42,100,5.57,CN,1617283893
4,marawi,7.9986,124.2928,70.75,96,82,0.2,PH,1617284108
5,esperance,-33.8667,121.9,64.4,94,0,4.61,AU,1617284109
6,kaitangata,-46.2817,169.8464,62.01,51,100,5.01,NZ,1617284109
7,qaanaaq,77.484,-69.3632,2.34,83,100,3.49,GL,1617284109
8,bredasdorp,-34.5322,20.0403,69.8,43,99,9.22,ZA,1617284109
9,punta arenas,-53.15,-70.9167,44.6,100,0,3.44,CL,1617284109
10,atuona,-9.8,-139.0333,79.74,82,100,16.28,PF,1617284035
11,longyearbyen,78.2186,15.6401,30.2,69,75,13.8,SJ,1617284110
12,torbay,47.6666,-52.7314,42.01,41,75,4.61,CA,1617284110
13,katsuura,35.1333,140.3,60.01,78,93,12.21,JP,1617283889
14,florianopolis,-27.6146,-48.5012,75.99,64,40,14.97,BR,1617284110
15,cayenne,4.9333,-52.3333,84.2,70,90,13.8,GF,1617284110
16,hambantota,6.1241,81.1185,86.0,74,20,12.66,LK,1617284107
17,tuktoyaktuk,69.4541,-133.0374,-23.8,76,20,14.97,CA,1617284110
18,pangnirtung,66.1451,-65.7125,-9.4,77,90,20.71,CA,1617284111
19,ribeira grande,38.5167,-28.7,62.6,82,40,19.57,PT,1617284111
20,thompson,55.7435,-97.8558,21.2,73,75,3.44,CA,1617284111
21,busselton,-33.65,115.3333,68.0,78,91,7.58,AU,1617284111
22,pemangkat,1.1667,108.9667,81.68,76,99,3.33,ID,1617284111
23,new norfolk,-42.7826,147.0587,59.0,72,100,3.42,AU,1617284111
24,carnarvon,-24.8667,113.6333,80.6,89,75,9.22,AU,1617284111
25,ambanja,-13.6833,48.45,80.33,87,66,3.2,MG,1617284112
26,yar-sale,66.8333,70.8333,25.38,96,100,15.77,RU,1617284112
27,maun,-19.9833,23.4167,86.0,37,40,5.75,BW,1617284112
28,barrow,71.2906,-156.7887,-11.2,70,1,9.22,US,1617284112
29,chapais,49.7834,-74.8492,8.6,72,90,13.8,CA,1617284112
